Iteration,Cost,Temperature,Sequence
0,40,35,5 3 6 4 2 1
82,30,7,23783E-24,6 5 3 4 2 1
83,30,3,618915E-24,6 5 3 4 2 1
84,30,1,809458E-24,6 5 3 4 2 1
85,30,9,047288E-25,6 5 3 4 2 1
86,30,4,523644E-25,6 5 3 4 2 1
87,30,2,261822E-25,6 5 3 4 2 1
88,30,1,130911E-25,6 5 3 4 2 1
89,30,5,654555E-26,6 5 3 4 2 1
90,30,2,827277E-26,6 5 3 4 2 1
91,30,1,413639E-26,6 5 3 4 2 1
92,30,7,068194E-27,6 5 3 4 2 1
93,30,3,534097E-27,6 5 3 4 2 1
94,30,1,767048E-27,6 5 3 4 2 1
95,30,8,835242E-28,6 5 3 4 2 1
96,30,4,417621E-28,6 5 3 4 2 1
97,30,2,208811E-28,6 5 3 4 2 1
98,30,1,104405E-28,6 5 3 4 2 1
99,30,5,522026E-29,6 5 3 4 2 1
100,30,2,761013E-29,6 5 3 4 2 1
101,30,1,380507E-29,6 5 3 4 2 1
102,30,6,902533E-30,6 5 3 4 2 1
103,30,3,451266E-30,6 5 3 4 2 1
104,30,1,725633E-30,6 5 3 4 2 1
105,30,8,628166E-31,6 5 3 4 2 1
106,30,4,314083E-31,6 5 3 4 2 1
107,30,2,157042E-31,6 5 3 4 2 1
108,30,1,078521E-31,6 5 3 4 2 1
109,30,5,392604E-32,6 5 3 4 2 1
110,30,2,696302E-32,6 5 3 4 2 1
111,30,1,348151E-32,6 5 3 4 2 1
112,30,6,740755E-33,6 5 3 4 2 1
113,30,3,370377E-33,6 5 3 4 2 1
114,30,1,685189E-33,6 5 3 4 2 1
115,30,8,425944E-34,6 5 3 4 2 1
116,30,4,212972E-34,6 5 3 4 2 1
117,30,2,106486E-34,6 5 3 4 2 1
118,30,1,053243E-34,6 5 3 4 2 1
119,30,5,266215E-35,6 5 3 4 2 1
120,30,2,633107E-35,6 5 3 4 2 1
121,30,1,316554E-35,6 5 3 4 2 1
122,30,6,582768E-36,6 5 3 4 2 1
123,30,3,291384E-36,6 5 3 4 2 1
124,30,1,645692E-36,6 5 3 4 2 1
125,30,8,22846E-37,6 5 3 4 2 1
126,30,4,11423E-37,6 5 3 4 2 1
127,30,2,057115E-37,6 5 3 4 2 1
128,30,1,028558E-37,6 5 3 4 2 1
129,30,5,142788E-38,6 5 3 4 2 1
130,30,2,571394E-38,6 5 3 4 2 1
131,30,1,285697E-38,6 5 3 4 2 1
132,30,6,428485E-39,6 5 3 4 2 1
133,30,3,214242E-39,6 5 3 4 2 1
134,30,1,607121E-39,6 5 3 4 2 1
